date,SpotPriceEUR,FCR_N_PriceEUR,FCR_D_UpPriceEUR,FCR_D_DownPriceEUR
1/1/2015 0:00,18.29,33.419,10.201,0
1/1/2015 1:00,16.04,35.347,8.974,0
1/1/2015 2:00,14.6,35.38,8.957,0
1/1/2015 3:00,14.95,35.849,8.958,0
1/1/2015 4:00,14.5,35.857,9.003,0
1/1/2015 5:00,10.76,35.864,9.52,0
1/1/2015 6:00,12.01,29.374,8.993,0
1/1/2015 7:00,12.39,27.856,9.104,0
1/1/2015 8:00,14.04,26.877,9.096,0
1/1/2015 9:00,14.68,8.965,5.657,0
1/1/2015 10:00,16.08,8.95,5.656,0
1/1/2015 11:00,16.08,8.864,5.652,0
1/1/2015 12:00,25.42,8.864,5.665,0
1/1/2015 13:00,26.78,8.529,5.577,0
1/1/2015 14:00,27.51,8.53,5.594,0
1/1/2015 15:00,28.32,8.529,5.572,0
1/1/2015 16:00,28.36,8.529,5.572,0
1/1/2015 17:00,28.18,8.764,5.295,0
1/1/2015 18:00,27.81,8.744,5.295,0
1/1/2015 19:00,16.09,8.79,5.295,0
1/1/2015 20:00,14.08,8.856,5.29,0
1/1/2015 21:00,12.44,11.083,6.241,0
1/1/2015 22:00,0.04,11.303,6.571,0
1/1/2015 23:00,-12.11,18.789,7.765,0
1/2/2015 0:00,-19.63,39.721,12.22,0
1/2/2015 1:00,-19.37,41.695,11.861,0
1/2/2015 2:00,-31.41,43.596,12.381,0
1/2/2015 3:00,-31.41,49.579,15.993,0
1/2/2015 4:00,-13.48,45.438,15.731,0
1/2/2015 5:00,0.08,29.799,16.834,0
1/2/2015 6:00,28.37,21.564,10.109,0
1/2/2015 7:00,28.37,9.597,6.763,0
1/2/2015 8:00,28.32,9.902,6.626,0
1/2/2015 9:00,28.3,9.113,5.797,0
1/2/2015 10:00,28.39,8.962,5.617,0
1/2/2015 11:00,28.3,8.541,5.454,0
1/2/2015 12:00,28.24,8.443,5.45,0
1/2/2015 13:00,28.12,8.434,5.496,0
1/2/2015 14:00,28.23,8.434,5.49,0
1/2/2015 15:00,28.59,8.679,5.226,0
1/2/2015 16:00,28.73,8.667,5.259,0
1/2/2015 17:00,28.48,8.67,5.273,0
1/2/2015 18:00,28.38,8.867,5.351,0
1/2/2015 19:00,15,9.526,5.94,0
1/2/2015 20:00,12.22,9.222,5.925,0
1/2/2015 21:00,10.4,11.82,6.189,0
1/2/2015 22:00,-0.33,16.51,7.573,0
1/2/2015 23:00,-0.08,17.922,9.221,0
1/3/2015 0:00,-0.07,48.323,16.114,0
1/3/2015 1:00,-5.03,56.497,15.203,0
1/3/2015 2:00,0.01,56.498,15.188,0
1/3/2015 3:00,-0.04,49.204,13.802,0
1/3/2015 4:00,0.03,47.839,15.073,0
1/3/2015 5:00,-8.67,43.372,15.521,0
1/3/2015 6:00,4.46,40.335,15.673,0
1/3/2015 7:00,9.9,13.427,7.546,0
1/3/2015 8:00,14.29,13.659,7.087,0
1/3/2015 9:00,16.73,9.759,5.609,0
1/3/2015 10:00,22.31,9.67,5.631,0
1/3/2015 11:00,23.03,8.248,5.543,0
1/3/2015 12:00,22.4,8.253,5.552,0
1/3/2015 13:00,27.81,8.239,5.535,0
1/3/2015 14:00,28.37,8.238,5.524,0
1/3/2015 15:00,29.23,8.845,5.167,0
1/3/2015 16:00,29.53,8.823,5.178,0
